epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,5795.86,0.57149,0.35148,0.98698,0.99199,0.99348,0.99368,0.86788,0.51166,0.23005,0.96863,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,5996.49,0.56667,0.35246,0.98438,0.99014,0.99227,0.99348,0.86759,0.51042,0.23167,0.96479,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,6187.86,0.57204,0.35042,0.9891,0.99139,0.99251,0.99304,0.86703,0.51008,0.23008,0.96183,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,6377.82,0.56702,0.34615,0.98187,0.99187,0.99388,0.99325,0.86725,0.51331,0.23034,0.96364,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,6570.47,0.56429,0.34513,0.98261,0.99137,0.99227,0.99327,0.86839,0.50884,0.22776,0.95752,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,6759.12,0.56086,0.34253,0.97921,0.98998,0.99318,0.99335,0.8662,0.51297,0.23201,0.96601,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,6955.31,0.56109,0.34303,0.97986,0.99136,0.99244,0.99301,0.8673,0.51097,0.22691,0.96784,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,7178.26,0.56759,0.34732,0.98521,0.99123,0.99418,0.99339,0.86739,0.50706,0.22728,0.96333,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,7374.24,0.56774,0.34553,0.98356,0.9906,0.99233,0.99349,0.86528,0.51399,0.23013,0.96311,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,7570.9,0.56454,0.34423,0.98336,0.99034,0.99427,0.99382,0.86472,0.51679,0.22963,0.96822,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,7759.38,0.56472,0.34241,0.98331,0.99209,0.99364,0.99377,0.86576,0.51332,0.22671,0.96162,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,7961.86,0.56233,0.34374,0.98242,0.99097,0.99379,0.99358,0.86698,0.51122,0.22614,0.96236,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,8156.12,0.56059,0.34059,0.97875,0.99217,0.99385,0.9936,0.86613,0.5162,0.22427,0.95942,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,8344.56,0.55659,0.33946,0.97638,0.99116,0.99341,0.99366,0.86849,0.50862,0.22292,0.9563,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,8534.49,0.55799,0.33973,0.97814,0.99208,0.99352,0.99343,0.86654,0.51218,0.22533,0.96316,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,8722.13,0.55521,0.33532,0.97879,0.99248,0.99408,0.99337,0.8679,0.51054,0.22146,0.96054,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,8912.7,0.55603,0.33619,0.97951,0.99238,0.99388,0.99329,0.8664,0.51141,0.22375,0.9653,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,9101.48,0.55368,0.33462,0.97804,0.9915,0.99477,0.99326,0.86651,0.51302,0.22014,0.96343,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,9294.1,0.55202,0.33273,0.97614,0.99232,0.9948,0.99335,0.86695,0.51163,0.22028,0.96699,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,9487.77,0.55179,0.33238,0.97651,0.99109,0.99436,0.99277,0.86505,0.51708,0.22344,0.97434,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,9676.26,0.55072,0.33109,0.97681,0.99137,0.99434,0.99374,0.8672,0.51252,0.22097,0.9647,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,9871.05,0.55312,0.33064,0.97954,0.99338,0.99478,0.99396,0.86566,0.51501,0.22148,0.97204,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,10060.8,0.54858,0.32827,0.97503,0.99268,0.99487,0.99365,0.86691,0.51525,0.22146,0.97072,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,10251.9,0.54636,0.3258,0.97517,0.99305,0.99548,0.99378,0.86846,0.5115,0.21566,0.96505,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,10445.1,0.54624,0.32632,0.97618,0.99219,0.99497,0.99382,0.86655,0.51402,0.21638,0.96278,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,10635.9,0.54544,0.32609,0.96898,0.99316,0.99523,0.99357,0.86779,0.51312,0.21634,0.96315,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,10828.4,0.54566,0.32595,0.97284,0.99203,0.99379,0.9932,0.86549,0.51371,0.21758,0.96378,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,11022.3,0.54409,0.32546,0.97311,0.9931,0.9952,0.9938,0.86617,0.51401,0.21646,0.96273,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,11209.3,0.5401,0.32031,0.96988,0.9933,0.99557,0.99364,0.86597,0.51423,0.21658,0.96715,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,11401.6,0.54171,0.32311,0.97097,0.99139,0.99515,0.99404,0.86596,0.51248,0.21874,0.96896,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,11589.6,0.54099,0.32119,0.9698,0.99289,0.99545,0.99346,0.86873,0.50909,0.21265,0.96423,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,11780.4,0.53834,0.32133,0.97276,0.99242,0.99519,0.99359,0.86711,0.5108,0.21617,0.96909,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,11969.7,0.53966,0.32082,0.97025,0.99292,0.99497,0.99374,0.8676,0.51127,0.2128,0.9696,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,12161.1,0.53568,0.31942,0.97394,0.99304,0.99529,0.99378,0.867,0.51315,0.2158,0.97402,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,12355.1,0.53738,0.31873,0.97135,0.99253,0.99573,0.9932,0.86696,0.51,0.21439,0.97178,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,12547.5,0.53246,0.31688,0.96741,0.99358,0.99528,0.99332,0.86761,0.51083,0.2136,0.97203,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,12740.8,0.53292,0.31636,0.9675,0.99328,0.99533,0.9934,0.86744,0.51274,0.21315,0.97071,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,12933.8,0.53271,0.31492,0.96507,0.99295,0.99525,0.99349,0.86807,0.51204,0.21137,0.9623,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,13124.2,0.52797,0.31324,0.96266,0.99413,0.99594,0.99382,0.8687,0.51291,0.20891,0.96229,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,13317.3,0.5317,0.3139,0.9662,0.99384,0.9958,0.99413,0.86815,0.51198,0.20963,0.96574,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,13527.4,0.53021,0.31462,0.96585,0.99349,0.99503,0.99306,0.86671,0.51326,0.21014,0.96656,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,13722.3,0.52698,0.31112,0.9599,0.99352,0.99585,0.99322,0.86827,0.51218,0.20774,0.96306,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,13915.5,0.52399,0.30923,0.96058,0.99402,0.99511,0.99387,0.86775,0.51363,0.20822,0.96042,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,14106.8,0.52583,0.31021,0.9602,0.99413,0.99522,0.99384,0.86797,0.51108,0.20834,0.96161,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,14306.7,0.52744,0.307,0.96133,0.99371,0.9954,0.99336,0.86821,0.51065,0.20822,0.96041,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,14503.6,0.52635,0.30858,0.95911,0.99322,0.99562,0.99319,0.86726,0.5105,0.20825,0.95973,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,14702.2,0.52367,0.30577,0.96116,0.99399,0.99605,0.9937,0.86821,0.50781,0.20546,0.96142,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,14893.4,0.52212,0.3093,0.95987,0.9938,0.99623,0.99365,0.86818,0.51033,0.20734,0.96468,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,15086.8,0.52324,0.30514,0.96383,0.99393,0.9964,0.99363,0.86766,0.51151,0.20624,0.96257,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,15281.6,0.51799,0.30272,0.95666,0.99354,0.99676,0.99398,0.86859,0.51075,0.2065,0.96319,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,15474.3,0.51973,0.30417,0.9592,0.99362,0.99607,0.994,0.86908,0.51166,0.20779,0.96469,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,15670.8,0.51778,0.30358,0.95802,0.99396,0.99674,0.99402,0.86905,0.51148,0.20714,0.96613,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,15861.5,0.51925,0.30406,0.95858,0.9934,0.99603,0.99403,0.86871,0.51394,0.20878,0.96648,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,16052.8,0.5152,0.30072,0.9579,0.99406,0.99642,0.99383,0.86746,0.51631,0.20809,0.96899,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,16242.3,0.52073,0.30376,0.96059,0.99396,0.99586,0.99374,0.86678,0.51498,0.20731,0.96911,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,16432.7,0.5151,0.29998,0.95647,0.99396,0.99641,0.99386,0.86807,0.51338,0.20652,0.96608,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,16632,0.51613,0.30161,0.96116,0.99395,0.99668,0.99387,0.86784,0.51175,0.20535,0.96765,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,16828.4,0.51687,0.3015,0.95802,0.99403,0.99678,0.99368,0.86835,0.51089,0.2056,0.9663,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,17020.1,0.51346,0.30131,0.95594,0.9939,0.99694,0.9935,0.86893,0.51206,0.20578,0.96705,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,17210.7,0.51228,0.2987,0.95571,0.99437,0.99645,0.99337,0.86835,0.51258,0.2046,0.96746,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,17401.1,0.51111,0.29898,0.95625,0.99383,0.99579,0.99366,0.86742,0.51445,0.20629,0.97238,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,17598.6,0.51472,0.29808,0.95848,0.99365,0.99586,0.99364,0.86684,0.515,0.20637,0.97277,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,17791.9,0.50985,0.29603,0.95471,0.99429,0.99661,0.99418,0.86823,0.5122,0.2049,0.97204,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,17982.9,0.50995,0.29751,0.95552,0.99319,0.997,0.99394,0.86895,0.5112,0.20404,0.97202,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,18175.9,0.50815,0.29644,0.95448,0.99387,0.99667,0.99382,0.86946,0.51237,0.20422,0.97427,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,18376.3,0.51282,0.29733,0.95799,0.99403,0.99665,0.99397,0.86873,0.51392,0.20553,0.97627,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,18570.3,0.5062,0.29352,0.95342,0.9943,0.99671,0.99416,0.86859,0.51468,0.20524,0.97562,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,18761.4,0.50482,0.294,0.95249,0.99446,0.99661,0.99416,0.86873,0.51358,0.20452,0.97387,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,18953,0.50417,0.29216,0.95298,0.99404,0.99665,0.99402,0.8673,0.51394,0.20357,0.97264,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,19148.2,0.5044,0.29237,0.95097,0.9939,0.99694,0.99405,0.86748,0.51311,0.20226,0.97042,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,19339.6,0.50497,0.29176,0.95517,0.99411,0.99628,0.99403,0.8683,0.51201,0.20258,0.97123,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,19532.8,0.50334,0.29282,0.95106,0.99367,0.99662,0.99392,0.86778,0.51193,0.20214,0.97093,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,19734.2,0.50054,0.29227,0.94876,0.99416,0.99666,0.99398,0.86773,0.51238,0.2016,0.9694,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,19921.8,0.49756,0.28861,0.94851,0.99406,0.99675,0.99399,0.86786,0.51243,0.20182,0.96882,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,20118.1,0.49905,0.29001,0.9484,0.99456,0.99662,0.99405,0.86826,0.51223,0.20062,0.96925,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,20311.4,0.49784,0.29017,0.94863,0.99451,0.99603,0.99415,0.86752,0.51342,0.20162,0.97054,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,20499.7,0.49666,0.28718,0.94933,0.99407,0.9964,0.99405,0.86684,0.51293,0.20107,0.97033,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,20695.4,0.5,0.28867,0.94982,0.99374,0.99672,0.99387,0.86817,0.51171,0.20093,0.97056,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,20882.8,0.49619,0.28592,0.94613,0.99411,0.9964,0.9939,0.86789,0.51057,0.20012,0.96946,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,21072.2,0.49725,0.28826,0.95147,0.99406,0.99697,0.99393,0.86886,0.5104,0.19963,0.97047,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,21263.7,0.49447,0.28493,0.94547,0.99391,0.99631,0.9938,0.86872,0.51056,0.20003,0.97032,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
